t,r,u,y
0,0.080509,2.3572,-0.10219
0.01,0.10703,2.391,-0.072613
0.02,0.13316,2.4291,-0.044535
0.03,0.16191,2.443,-0.007561
0.04,0.18748,2.4527,0.025687
0.05,0.21306,2.471,0.056267
0.06,0.2383,2.487,0.087181
0.07,0.26332,2.494,0.11921
0.08,0.29023,2.5046,0.15285
0.09,0.31442,2.5159,0.18259
0.1,0.33833,2.5235,0.21228
0.11,0.362,2.5361,0.24045
0.12,0.38675,2.5335,0.27333
0.13,0.40955,2.533,0.30235
0.14,0.43146,2.525,0.33227
0.15,0.45363,2.5254,0.36022
0.16,0.47599,2.5165,0.39009
0.17,0.49656,2.5071,0.41756
0.18,0.51613,2.4969,0.44385
0.19,0.53543,2.486,0.46965
0.2,0.55537,2.4696,0.4971
0.21,0.57379,2.452,0.52264
0.22,0.59103,2.43,0.54744
0.23,0.60782,2.405,0.57201
0.24,0.62494,2.3766,0.59749
0.25,0.64018,2.3471,0.62111
0.26,0.65447,2.3102,0.64435
0.27,0.66809,2.2734,0.66659
0.28,0.68232,2.231,0.68989
0.29,0.69444,2.181,0.71224
0.3,0.70568,2.1335,0.73281
0.31,0.71624,2.0808,0.75305
0.32,0.72591,2.019,0.77395
0.33,0.73553,1.951,0.79508
0.34,0.74332,1.8847,0.81398
0.35,0.75054,1.8231,0.83061
0.36,0.7568,1.7643,0.84461
0.37,0.76261,1.6875,0.86136
0.38,0.76695,1.6218,0.87448
0.39,0.77039,1.551,0.88738
0.4,0.77313,1.4804,0.89831
0.41,0.77523,1.4002,0.90978
0.42,0.77612,1.324,0.91968
0.43,0.77618,1.2491,0.92753
0.44,0.77601,1.1715,0.93564
0.45,0.7751,1.0869,0.94342
0.46,0.77351,1.006,0.9492
0.47,0.77117,0.9275,0.95376
0.48,0.76817,0.8485,0.95743
0.49,0.76379,0.75728,0.96134
0.5,0.75916,0.676,0.96283
0.51,0.7536,0.58863,0.9646
0.52,0.74749,0.50425,0.9646
0.53,0.7397,0.415,0.96255
0.54,0.73192,0.328,0.96088
0.55,0.72369,0.245,0.95721
0.56,0.71446,0.156,0.95387
0.57,0.70456,0.062003,0.95098
0.58,0.69278,-0.035248,0.94476
0.59,0.68166,-0.13025,0.93947
0.6,0.66976,-0.242,0.93725
0.61,0.65684,-0.33957,0.92995
0.62,0.64251,-0.3995,0.9114
0.63,0.62861,-0.4695,0.89761
0.64,0.61427,-0.563,0.88782
0.65,0.5987,-0.64771,0.87473
0.66,0.58174,-0.742,0.86119
0.67,0.56523,-0.81763,0.8454
0.68,0.54849,-0.89138,0.8285
0.69,0.53109,-0.9695,0.81215
0.7,0.51203,-1.0434,0.79162
0.71,0.49328,-1.111,0.77128
0.72,0.47427,-1.1775,0.75093
0.73,0.45481,-1.247,0.73081
0.74,0.43368,-1.3261,0.70958
0.75,0.413,-1.3916,0.68705
0.76,0.39265,-1.4641,0.66676
0.77,0.37152,-1.5279,0.64396
0.78,0.34828,-1.586,0.61605
0.79,0.32659,-1.6428,0.59158
0.8,0.30491,-1.6925,0.56534
0.81,0.28289,-1.7438,0.53943
0.82,0.26065,-1.805,0.51597
0.83,0.23558,-1.8555,0.486
0.84,0.21278,-1.743,0.42456
0.85,0.18998,-1.5675,0.35228
0.86,0.1668,-1.8057,0.37109
0.87,0.14145,-1.6485,0.2989
0.88,0.11809,-1.6228,0.26199
0.89,0.095187,-1.87,0.28378
0.9,0.071042,-1.599,0.1905
0.91,0.045703,-1.7321,0.18804
0.92,0.02274,-1.7452,0.15818
0.93,-0.00055604,-1.481,0.070834
0.94,-0.023908,-1.781,0.10842
0.95,-0.048611,-1.6874,0.054328
0.96,-0.072502,-1.53,-0.0080058
0.97,-0.095299,-1.833,0.030246
0.98,-0.1181,-1.599,-0.050934
0.99,-0.14246,-1.6016,-0.077966
1,-0.16502,-1.8375,-0.054045
1.01,-0.18709,-1.5898,-0.13578
1.02,-0.20878,-1.6735,-0.14134
1.03,-0.23218,-1.836,-0.13522
1.04,-0.25331,-1.5242,-0.22829
1.05,-0.27422,-1.7075,-0.21061
1.06,-0.29479,-1.7092,-0.2353
1.07,-0.31492,-1.446,-0.31581
1.08,-0.33632,-1.7534,-0.27161
1.09,-0.35551,-1.684,-0.30997
1.1,-0.37402,-1.591,-0.35039
1.11,-0.39257,-1.7711,-0.33157
1.12,-0.41189,-1.6095,-0.38965
1.13,-0.42901,-1.627,-0.40388
1.14,-0.44569,-1.76,-0.39365
1.15,-0.46227,-1.6046,-0.44652
1.16,-0.47899,-1.6672,-0.45025
1.17,-0.49401,-1.7007,-0.46004
1.18,-0.50846,-1.602,-0.4974
1.19,-0.5222,-1.6499,-0.50129
1.2,-0.53617,-1.6644,-0.51336
1.21,-0.54888,-1.629,-0.53509
1.22,-0.56045,-1.6365,-0.54599
1.23,-0.57157,-1.6155,-0.56267
1.24,-0.58288,-1.593,-0.57926
1.25,-0.59253,-1.5784,-0.59242
1.26,-0.60165,-1.5543,-0.60671
1.27,-0.60971,-1.5161,-0.62283
1.28,-0.61827,-1.481,-0.63784
1.29,-0.62483,-1.4343,-0.65341
1.3,-0.63073,-1.3785,-0.66987
1.31,-0.63595,-1.3347,-0.68232
1.32,-0.64051,-1.289,-0.69389
1.33,-0.64463,-1.2257,-0.70846
1.34,-0.64741,-1.1745,-0.71874
1.35,-0.64963,-1.1213,-0.72814
1.36,-0.65087,-1.0513,-0.74021
1.37,-0.65163,-0.99,-0.7486
1.38,-0.65163,-0.92725,-0.75649
1.39,-0.65163,-0.8655,-0.76394
1.4,-0.65163,-0.81125,-0.76939
1.41,-0.65163,-0.74463,-0.7764
1.42,-0.65163,-0.69563,-0.77979
1.43,-0.65163,-0.63625,-0.78535
1.44,-0.65163,-0.58575,-0.78841
1.45,-0.65163,-0.5334,-0.79157
1.46,-0.65163,-0.482,-0.79441
1.47,-0.65096,-0.43075,-0.79641
1.48,-0.64963,-0.377,-0.79886
1.49,-0.64782,-0.33043,-0.79797
1.5,-0.64563,-0.27725,-0.79836
1.51,-0.64307,-0.2275,-0.79797
1.52,-0.63973,-0.17812,-0.79658
1.53,-0.63606,-0.121,-0.7953
1.54,-0.63162,-0.073001,-0.79241
1.55,-0.62695,-0.017,-0.79041
1.56,-0.62194,0.0345,-0.78741
1.57,-0.61649,0.090002,-0.78463
